grp,name
rainbow,amwg256
rainbow,BkBlAqGrYeOrReViWh200
rainbow,BlAqGrYeOrRe
rainbow,BlAqGrYeOrReVi200
rainbow,BlGrYeOrReVi200
rainbow,example
rainbow,GMT_seis
rainbow,GMT_wysiwygcont
rainbow,matlab_hsv
rainbow,matlab_jet
rainbow,MPL_gist_ncar
rainbow,MPL_gist_rainbow
rainbow,MPL_hsv
rainbow,MPL_jet
rainbow,MPL_rainbow
rainbow,MPL_Spectral
rainbow,NCV_bright
rainbow,NCV_jaisnd
rainbow,NCV_jet
rainbow,NCV_rainbow2
rainbow,ncview_default
rainbow,nice_gfdl
rainbow,rainbow
rainbow,rainbow+gray
rainbow,rainbow+white
rainbow,rainbow+white+gray
rainbow,tbr_240-300
rainbow,tbr_stdev_0-30
rainbow,tbr_var_0-500
rainbow,tbrAvg1
rainbow,tbrStd1
rainbow,tbrVar1
rainbow,temp1
rainbow,testcmap
rainbow,ViBlGrWhYeOrRe
rainbow,wh-bl-gr-ye-re
rainbow,WhBlGrYeRe
rainbow,WhiteBlueGreenYellowRed
rainbow,WhViBlGrYeOrRe
rainbow,WhViBlGrYeOrReWh
small rainbow,amwg
small rainbow,BlAqGrWh2YeOrReVi22
small rainbow,cosam
small rainbow,cosam12
small rainbow,cyclic
small rainbow,GHRSST_anomaly
small rainbow,GMT_wysiwyg
small rainbow,grads_rainbow
small rainbow,gui_default
small rainbow,prcp_1
small rainbow,prcp_2
small rainbow,prcp_3
small rainbow,radar
small rainbow,radar_1
small rainbow,seaice_1
small rainbow,seaice_2
small rainbow,so4_21
small rainbow,so4_23
small rainbow,wgne15
earth_ocean,cmocean_deep
earth_ocean,cmp_haxby
earth_ocean,GMT_drywet
earth_ocean,GMT_globe
earth_ocean,GMT_haxby
earth_ocean,GMT_nighttime
earth_ocean,GMT_ocean
earth_ocean,GMT_relief
earth_ocean,GMT_relief_oceanonly
earth_ocean,GMT_topo
earth_ocean,MPL_BrBG
earth_ocean,MPL_gist_earth
earth_ocean,MPL_ocean
earth_ocean,MPL_terrain
earth_ocean,NCV_gebco
earth_ocean,OceanLakeLandSnow
earth_ocean,topo_15lev
oceanography,cmocean_algae
oceanography,cmocean_amp
oceanography,cmocean_balance
oceanography,cmocean_curl
oceanography,cmocean_deep
oceanography,cmocean_delta
oceanography,cmocean_dense
oceanography,cmocean_gray
oceanography,cmocean_haline
oceanography,cmocean_ice
oceanography,cmocean_matter
oceanography,cmocean_oxy
oceanography,cmocean_phase
oceanography,cmocean_solar
oceanography,cmocean_speed
oceanography,cmocean_tempo
oceanography,cmocean_thermal
oceanography,cmocean_turbid
aid in color blindness,BlueDarkOrange18
aid in color blindness,BlueDarkRed18
aid in color blindness,BlueGreen14
aid in color blindness,BrownBlue12
aid in color blindness,Cat12
aid in color blindness,cb_9step
aid in color blindness,cb_rainbow
aid in color blindness,cb_rainbow_inv
aid in color blindness,CBR_coldhot
aid in color blindness,CBR_drywet
aid in color blindness,CBR_wet
aid in color blindness,cividis
aid in color blindness,GreenMagenta16
aid in color blindness,posneg_1
aid in color blindness,posneg_2
aid in color blindness,srip_reanalysis
aid in color blindness,StepSeq25
meteoswiss,hotcold_18lev
meteoswiss,hotcolr_19lev
meteoswiss,mch_default
meteoswiss,perc2_9lev
meteoswiss,percent_11lev
meteoswiss,precip2_15lev
meteoswiss,precip2_17lev
meteoswiss,precip3_16lev
meteoswiss,precip4_11lev
meteoswiss,precip4_diff_19lev
meteoswiss,precip_11lev
meteoswiss,precip_diff_12lev
meteoswiss,precip_diff_1lev
meteoswiss,rh_19lev
meteoswiss,spread_15lev
meteoswiss,sunshine_9lev
meteoswiss,sunshine_diff_12lev
meteoswiss,t2m_29lev
meteoswiss,temp_19lev
meteoswiss,temp_diff_18lev
meteoswiss,temp_diff_1lev
meteoswiss,topo_15lev
meteoswiss,wind_17lev
blue_red,BlRe
blue_red,BlueDarkRed18
blue_red,BlueRed
blue_red,BlueRedGray
blue_red,BlWhRe
blue_red,CBR_coldhot
blue_red,cmocean_balance
